,word,current_time,rel_freq_past,rel_freq_last_month,rel_freq_last_week,rel_freq_last_day,rel_freq_next_week,rel_freq_future
0,greaaaat,2025-10-03 22:18:01+00:00,0.0,0.0,0.0,0.0,0.0,9.053870529651426e-05
1,ducts,2025-10-03 22:18:01+00:00,7.971091508130513e-05,0.0,0.0,0.0,0.0,0.0
2,vomitting,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
3,figurine,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
4,foreshadowing,2025-10-03 22:18:01+00:00,0.0007971091508130513,0.0,0.0,0.0,0.002967359050445104,0.0011770031688546855
5,ragnarok,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
6,bouncy,2025-10-03 22:18:01+00:00,5.3140610054203425e-05,0.0,0.0,0.0,0.0,0.0
7,unbroken,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
8,coat,2025-10-03 22:18:01+00:00,0.0002391327452439154,0.0,0.0,0.0,0.0,0.0004526935264825713
9,fumperdink,2025-10-03 22:18:01+00:00,0.000637687320650441,0.0,0.0,0.0,0.0,0.0
10,walled,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0014486192847442281
11,hentai,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
12,excellent,2025-10-03 22:18:01+00:00,0.0011690934211924754,0.0,0.0,0.0,0.0,0.0008148483476686283
13,49,2025-10-03 22:18:01+00:00,0.004782654904878308,0.006396588486140725,0.00625,0.01098901098901099,0.005934718100890208,0.005432322317790856
14,almost,2025-10-03 22:18:01+00:00,0.012514613667764907,0.010660980810234541,0.0125,0.01098901098901099,0.005934718100890208,0.011407876867360797
15,yolo,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
16,yanks,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
17,harvingtons,2025-10-03 22:18:01+00:00,0.0,0.0,0.0,0.0,0.0,9.053870529651426e-05
18,jarvis,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.0
19,circuitous,2025-10-03 22:18:01+00:00,0.0,0.0,0.0,0.0,0.0,9.053870529651426e-05
20,slowest,2025-10-03 22:18:01+00:00,0.0,0.0,0.0,0.0,0.0,9.053870529651426e-05
21,worn,2025-10-03 22:18:01+00:00,0.00018599213518971197,0.0,0.0,0.0,0.0,0.00036215482118605704
22,uphill,2025-10-03 22:18:01+00:00,2.6570305027101713e-05,0.0,0.0,0.0,0.0,0.00018107741059302852
